Date,Price
July 2002,26.97
June 2002,25.52
May 2002,27.04
April 2002,26.18
March 2002,24.53
February 2002,20.72
January 2002,19.72
December 2001,19.39
November 2001,19.64
October 2001,22.17
September 2001,26.2
August 2001,27.37
July 2001,26.43
June 2001,27.6
May 2001,28.63
April 2001,27.49
March 2001,27.25
February 2001,29.61
January 2001,29.59
December 2000,28.44
November 2000,34.42
October 2000,33.11
September 2000,33.88
August 2000,31.26
July 2000,29.7
June 2000,31.82
May 2000,28.79
April 2000,25.72
March 2000,29.84
February 2000,29.37
January 2000,27.26
December 1999,26.1
November 1999,25
October 1999,22.69
September 1999,23.8
August 1999,21.28
July 1999,20.1
June 1999,17.92
May 1999,17.72
April 1999,17.31
March 1999,14.68
February 1999,12.01
January 1999,12.52
December 1998,11.35
November 1998,13
October 1998,14.46
September 1998,15.03
August 1998,13.47
July 1998,14.17
June 1998,13.72
May 1998,14.91
April 1998,15.35
March 1998,15.12
February 1998,16.06
January 1998,16.72
December 1997,18.33
November 1997,20.19
October 1997,21.33
September 1997,19.8
August 1997,19.95
July 1997,19.66
June 1997,19.26
May 1997,20.82
April 1997,19.7
March 1997,20.97
February 1997,22.18
January 1997,25.13
December 1996,25.23
November 1996,23.71
October 1996,24.88
September 1996,23.97
August 1996,21.9
July 1996,21.3
June 1996,20.42
May 1996,21.17
April 1996,23.5
March 1996,21.33
February 1996,19.09
January 1996,18.86
December 1995,19.03
November 1995,17.99
October 1995,17.43
September 1995,18.23
August 1995,18.02
July 1995,17.33
June 1995,18.45
May 1995,19.74
April 1995,19.9
March 1995,18.54
February 1995,18.57
January 1995,18.04
December 1994,17.16
November 1994,18.07
October 1994,17.72
September 1994,17.45
August 1994,18.38
July 1994,19.66
June 1994,19.06
May 1994,17.89
April 1994,16.42
March 1994,14.68
February 1994,14.78
January 1994,15.03
December 1993,14.52
November 1993,16.61
October 1993,18.15
September 1993,17.5
August 1993,18.01
July 1993,17.89
June 1993,19.09
May 1993,19.95
April 1993,20.25
March 1993,20.32
February 1993,20.09
January 1993,19.03
December 1992,19.41
November 1992,20.34
October 1992,21.69
September 1992,21.88
August 1992,21.34
July 1992,21.78
June 1992,22.39
May 1992,20.98
April 1992,20.23
March 1992,18.92
February 1992,19.01
January 1992,18.79
December 1991,19.5
November 1991,22.46
October 1991,23.23
September 1991,21.89
August 1991,21.69
July 1991,21.4
June 1991,20.19
May 1991,21.23
April 1991,20.83
March 1991,19.9
February 1991,20.48
January 1991,25.23
December 1990,27.28
November 1990,32.33
October 1990,36.04
September 1990,33.51
August 1990,27.31
July 1990,18.45
June 1990,16.7
May 1990,18.2
April 1990,18.43
March 1990,20.39
February 1990,22.11
January 1990,22.86
December 1989,21.1
November 1989,19.86
October 1989,20.1
September 1989,19.59
August 1989,18.58
July 1989,19.78
June 1989,20.05
May 1989,20.12
April 1989,21.07
March 1989,19.48
February 1989,17.94
January 1989,18.02
December 1988,16.38
November 1988,14.14
October 1988,13.77
September 1988,14.54
August 1988,15.52
July 1988,15.5
June 1988,16.53
May 1988,17.42
April 1988,17.86
March 1988,16.2
February 1988,16.8
January 1988,17.13
December 1987,17.28
November 1987,18.85
October 1987,19.86
September 1987,19.53
August 1987,20.31
July 1987,21.34
June 1987,20.07
May 1987,19.44
April 1987,18.68
March 1987,18.3
February 1987,17.75
January 1987,18.65
December 1986,16.11
November 1986,15.22
October 1986,14.9
September 1986,14.87
August 1986,15.1
July 1986,11.59
June 1986,13.43
May 1986,15.38
April 1986,12.84
March 1986,12.61
February 1986,15.46
January 1986,22.93
